,Q21,Q22,Q23,Q24,Q25,Q26,Q28,Q29,Q30,Q31,tweet,value
1855,31-40,Female,Master's degree,Employee,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Somewhat concerned,"So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",3.0
1856,18-25,Male,High school graduate with diploma,Employee,Agree,Disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Not at all concerned,"So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",4.0
1857,31-40,Female,Master's degree,Employee,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,"I know I should be concerned, but I'm not","So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",5.0
1858,31-40,Male,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Very concerned,"So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",3.0
1859,51-60,Female,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Agree,Strongly agree,Somewhat concerned,"So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",4.0
1860,26-30,Male,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Somewhat concerned,"So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",5.0
1861,18-25,Female,High school graduate with diploma,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat concerned,"So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",5.0
1862,18-25,Female,High school graduate with diploma,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very concerned,"So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",2.0
1863,26-30,Female,High school graduate with diploma,Employee,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,A little concerned,"So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",2.0
1864,31-40,Female,"8th Up to 12th grade, no diploma",Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A little concerned,"So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",4.0
1865,51-60,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Agree,Agree,A little concerned,"So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",3.0
1866,41-50,Male,Master's degree,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Very concerned,"So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",2.0
1867,31-40,Female,Master's degree,Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Very concerned,"So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",3.0
1868,41-50,Female,Master's degree,Employee,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,A little concerned,"So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",3.0
1869,18-25,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,A little concerned,"So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..",5.0
1870,31-40,Male,High school graduate with diploma,Employee,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Somewhat concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,2.0
1871,31-40,Male,Bachelor's degree,Employee,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Very concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,5.0
1872,18-25,Female,Bachelor's degree,Employee,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,4.0
1873,18-25,Male,Bachelor's degree,Self-employed,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,A little concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,3.0
1874,41-50,Male,Bachelor's degree,Employee,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Very concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,4.0
1875,26-30,Female,High school graduate with diploma,Self-employed,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Not at all concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,3.0
1876,26-30,Female,Bachelor's degree,Out of work and looking for work,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Somewhat concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,3.0
1877,26-30,Female,Bachelor's degree,Employee,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Somewhat concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,2.0
1878,41-50,Male,Bachelor's degree,Employee,Agree,Agree,Neither agree nor disagree,Agree,Agree,Very concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,4.0
1879,31-40,Female,"8th Up to 12th grade, no diploma",Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A little concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,3.0
1880,51-60,Male,Master's degree,Employee,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,5.0
1881,41-50,Female,Bachelor's degree,Employee,Agree,Agree,Strongly agree,Agree,Agree,Very concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,3.0
1882,51-60,Male,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,2.0
1883,41-50,Female,Master's degree,Employee,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,4.0
1884,26-30,Male,Bachelor's degree,Employee,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Somewhat concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,2.0
1885,26-30,Female,Master's degree,Employee,Strongly agree,Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Very concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,5.0
1886,18-25,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,A little concerned,Atlantic Council propagandist denying all of Ukraine's socioeconomic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying fck about Ukraine or its people .,3.0
1887,18-25,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly Disagree,A little concerned,"The year of 2021 is coming to an end,In that wide universe,the Earth is a blue dot,but humans are still at war,where are they .",2.0
1888,31-40,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Neither agree nor disagree,Agree,A little concerned,"The year of 2021 is coming to an end,In that wide universe,the Earth is a blue dot,but humans are still at war,where are they .",5.0
1889,31-40,Male,Bachelor's degree,Employee,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,A little concerned,"The year of 2021 is coming to an end,In that wide universe,the Earth is a blue dot,but humans are still at war,where are they .",2.0
1890,26-30,Female,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Agree,Disagree,Somewhat concerned,"The year of 2021 is coming to an end,In that wide universe,the Earth is a blue dot,but humans are still at war,where are they .",4.0
1891,26-30,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very concerned,"The year of 2021 is coming to an end,In that wide universe,the Earth is a blue dot,but humans are still at war,where are they .",2.0
1892,51-60,Male,Bachelor's degree,Employee,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,A little concerned,"The year of 2021 is coming to an end,In that wide universe,the Earth is a blue dot,but humans are still at war,where are they .",4.0
1893,31-40,Male,Master's degree,Employee,Agree,Strongly agree,Agree,Agree,Agree,Very concerned,"The year of 2021 is coming to an end,In that wide universe,the Earth is a blue dot,but humans are still at war,where are they .",3.0
1894,31-40,Female,High school graduate with diploma,Employee,Agree,Disagree,Disagree,Disagree,Agree,Very concerned,"The year of 2021 is coming to an end,In that wide universe,the Earth is a blue dot,but humans are still at war,where are they .",4.0
1895,26-30,Male,Bachelor's degree,Employee,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat concerned,"The year of 2021 is coming to an end,In that wide universe,the Earth is a blue dot,but humans are still at war,where are they .",2.0
1896,26-30,Female,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,A little concerned,"The year of 2021 is coming to an end,In that wide universe,the Earth is a blue dot,but humans are still at war,where are they .",1.0
1897,26-30,Male,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat concerned,"The year of 2021 is coming to an end,In that wide universe,the Earth is a blue dot,but humans are still at war,where are they .",4.0
1898,26-30,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very concerned,"The year of 2021 is coming to an end,In that wide universe,the Earth is a blue dot,but humans are still at war,where are they .",2.0
1899,41-50,Female,Master's degree,Employee,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,A little concerned,"The year of 2021 is coming to an end,In that wide universe,the Earth is a blue dot,but humans are still at war,where are they .",2.0
1900,18-25,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,A little concerned," Well the game is called Total War, not Total Society its a battle simulator. You cant really accuse it of not doing what it says on the tin.",2.0
1901,18-25,Male,Associate degree,Employee,Agree,Agree,Neither agree nor disagree,Agree,Agree,Very concerned," Well the game is called Total War, not Total Society its a battle simulator. You cant really accuse it of not doing what it says on the tin.",3.0
1902,51-60,Male,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Very concerned," Well the game is called Total War, not Total Society its a battle simulator. You cant really accuse it of not doing what it says on the tin.",3.0
1903,51-60,Male,Master's degree,Employee,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Very concerned," Well the game is called Total War, not Total Society its a battle simulator. You cant really accuse it of not doing what it says on the tin.",5.0
1904,41-50,Female,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat concerned," Well the game is called Total War, not Total Society its a battle simulator. You cant really accuse it of not doing what it says on the tin.",2.0
1905,31-40,Male,Master's degree,A homemaker,Agree,Agree,Agree,Strongly agree,Strongly agree,Very concerned," Well the game is called Total War, not Total Society its a battle simulator. You cant really accuse it of not doing what it says on the tin.",3.0
1906,41-50,Male,High school graduate with diploma,Employee,Agree,Agree,Disagree,Agree,Disagree,Somewhat concerned," Well the game is called Total War, not Total Society its a battle simulator. You cant really accuse it of not doing what it says on the tin.",1.0
1907,31-40,Male,Bachelor's degree,Employee,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,A little concerned," Well the game is called Total War, not Total Society its a battle simulator. You cant really accuse it of not doing what it says on the tin.",5.0
1908,26-30,Male,High school graduate with diploma,Employee,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat concerned," Well the game is called Total War, not Total Society its a battle simulator. You cant really accuse it of not doing what it says on the tin.",4.0
1909,26-30,Female,Master's degree,Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all concerned," Well the game is called Total War, not Total Society its a battle simulator. You cant really accuse it of not doing what it says on the tin.",1.0
1910,31-40,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very concerned," Well the game is called Total War, not Total Society its a battle simulator. You cant really accuse it of not doing what it says on the tin.",3.0
1911,26-30,Female,High school graduate with diploma,Employee,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat concerned," Well the game is called Total War, not Total Society its a battle simulator. You cant really accuse it of not doing what it says on the tin.",3.0
1912,41-50,Female,Master's degree,Employee,Strongly agree,Agree,Strongly Disagree,Disagree,Disagree,Very concerned," Well the game is called Total War, not Total Society its a battle simulator. You cant really accuse it of not doing what it says on the tin.",2.0
1913,26-30,Female,Bachelor's degree,Employee,Agree,Agree,Disagree,Agree,Disagree,Very concerned," Well the game is called Total War, not Total Society its a battle simulator. You cant really accuse it of not doing what it says on the tin.",3.0
1914,31-40,Female,Bachelor's degree,Employee,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree,Very concerned, Wow. Well first off that's calling for a civil war. Second off retweeting Taylor greene is just ewwww..,3.0
1915,26-30,Female,Bachelor's degree,Employee,Strongly agree,Agree,Disagree,Agree,Agree,Very concerned, Wow. Well first off that's calling for a civil war. Second off retweeting Taylor greene is just ewwww..,3.0
1916,26-30,Male,Bachelor's degree,Employee,Agree,Strongly Disagree,Agree,Agree,Neither agree nor disagree,Very concerned, Wow. Well first off that's calling for a civil war. Second off retweeting Taylor greene is just ewwww..,3.0
1917,18-25,Female,Master's degree,Employee,Agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat concerned, Wow. Well first off that's calling for a civil war. Second off retweeting Taylor greene is just ewwww..,4.0
1918,26-30,Female,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,A little concerned, Wow. Well first off that's calling for a civil war. Second off retweeting Taylor greene is just ewwww..,4.0
1919,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Agree,A little concerned, Wow. Well first off that's calling for a civil war. Second off retweeting Taylor greene is just ewwww..,4.0
1920,26-30,Female,Master's degree,Self-employed,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,A little concerned, Wow. Well first off that's calling for a civil war. Second off retweeting Taylor greene is just ewwww..,3.0
1921,26-30,Male,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat concerned, Wow. Well first off that's calling for a civil war. Second off retweeting Taylor greene is just ewwww..,4.0
1922,26-30,Female,Doctorate degree,Employee,Agree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat concerned, Wow. Well first off that's calling for a civil war. Second off retweeting Taylor greene is just ewwww..,3.0
1923,Above 60 years old,Male,Bachelor's degree,Retired,Disagree,Strongly agree,Disagree,Agree,Agree,Very concerned, Wow. Well first off that's calling for a civil war. Second off retweeting Taylor greene is just ewwww..,3.0
1924,31-40,Female,High school graduate with diploma,Employee,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Very concerned, Wow. Well first off that's calling for a civil war. Second off retweeting Taylor greene is just ewwww..,3.0
1925,31-40,Male,High school graduate with diploma,Employee,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Somewhat concerned," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",3.0
1926,26-30,Male,Bachelor's degree,Employee,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Agree,Neither agree nor disagree,A little concerned," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",5.0
1927,51-60,Male,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat concerned," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",3.0
1928,18-25,Female,Bachelor's degree,Employee,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat concerned," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",1.0
1929,26-30,Male,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,A little concerned," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",3.0
1930,31-40,Female,Bachelor's degree,Out of work and looking for work,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Agree,A little concerned," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",3.0
1931,26-30,Male,"8th Up to 12th grade, no diploma",Employee,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,A little concerned," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",4.0
1932,26-30,Male,Bachelor's degree,Self-employed,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,A little concerned," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",1.0
1933,26-30,Male,Associate degree,Out of work and looking for work,Agree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,"I know I should be concerned, but I'm not"," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",3.0
1934,31-40,Female,High school graduate with diploma,Employee,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat concerned," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",3.0
1935,26-30,Female,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,A little concerned," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",1.0
1936,41-50,Female,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Agree,A little concerned," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",4.0
1937,51-60,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Very concerned," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",4.0
1938,41-50,Female,Master's degree,Self-employed,Strongly agree,Agree,Agree,Strongly agree,Agree,Very concerned," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",4.0
1939,18-25,Female,Bachelor's degree,Self-employed,Agree,Strongly agree,Agree,Strongly agree,Agree,A little concerned," Ditto.Compassion, kindness holistic training medics HCW nutrition, vitamins, trace elements  health, exercise.Deeper understanding trauma, relationships, context. Outdoors quiet time to support healing, absorb peacefulness, beauty of nature. to help rest,  calm troubled minds.",4.0
1940,41-50,Male,Master's degree,Employee,Agree,Strongly agree,Agree,Agree,Agree,Very concerned,When counting your wins of 2021 Count that of stable mental health Many lost their mental health Mental health     .,3.0
1941,18-25,Female,Bachelor's degree,Employee,Disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Somewhat concerned,When counting your wins of 2021 Count that of stable mental health Many lost their mental health Mental health     .,3.0
1942,31-40,Male,High school graduate with diploma,Self-employed,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned,When counting your wins of 2021 Count that of stable mental health Many lost their mental health Mental health     .,2.0
1943,31-40,Male,Master's degree,Self-employed,Agree,Agree,Agree,Agree,Agree,Very concerned,When counting your wins of 2021 Count that of stable mental health Many lost their mental health Mental health     .,2.0
1944,31-40,Male,Bachelor's degree,Self-employed,Agree,Agree,Strongly agree,Agree,Strongly agree,A little concerned,When counting your wins of 2021 Count that of stable mental health Many lost their mental health Mental health     .,1.0
1945,41-50,Male,Master's degree,Employee,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Very concerned,When counting your wins of 2021 Count that of stable mental health Many lost their mental health Mental health     .,4.0
1946,31-40,Male,Master's degree,Employee,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly Disagree,A little concerned,When counting your wins of 2021 Count that of stable mental health Many lost their mental health Mental health     .,4.0
1947,26-30,Male,Bachelor's degree,Employee,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Somewhat concerned,When counting your wins of 2021 Count that of stable mental health Many lost their mental health Mental health     .,2.0
1948,41-50,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Disagree,Strongly Disagree,Disagree,Very concerned,When counting your wins of 2021 Count that of stable mental health Many lost their mental health Mental health     .,5.0
1949,26-30,Male,Bachelor's degree,Employee,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Somewhat concerned,When counting your wins of 2021 Count that of stable mental health Many lost their mental health Mental health     .,5.0
1950,Above 60 years old,Male,Bachelor's degree,Retired,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Very concerned,When counting your wins of 2021 Count that of stable mental health Many lost their mental health Mental health     .,3.0
1951,41-50,Female,Bachelor's degree,Employee,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Very concerned,When counting your wins of 2021 Count that of stable mental health Many lost their mental health Mental health     .,2.0
1952,18-25,Female,Master's degree,Employee,Strongly agree,Agree,Agree,Agree,Agree,Very concerned,When counting your wins of 2021 Count that of stable mental health Many lost their mental health Mental health     .,1.0
1953,31-40,Male,Bachelor's degree,Self-employed,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Very concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,1.0
1954,18-25,Female,Master's degree,Employee,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,2.0
1955,41-50,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Very concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,3.0
1956,41-50,Female,Bachelor's degree,Self-employed,Agree,Agree,Neither agree nor disagree,Agree,Agree,A little concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,3.0
1957,41-50,Male,Master's degree,Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,4.0
1958,31-40,Female,High school graduate with diploma,Employee,Agree,Disagree,Disagree,Disagree,Agree,Very concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,3.0
1959,18-25,Female,Master's degree,Employee,Agree,Agree,Agree,Strongly agree,Agree,Somewhat concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,1.0
1960,31-40,Female,Master's degree,Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,3.0
1961,41-50,Male,Associate degree,Self-employed,Strongly agree,Strongly agree,Agree,Agree,Agree,A little concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,1.0
1962,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,4.0
1963,26-30,Female,High school graduate with diploma,Employee,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,A little concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,3.0
1964,31-40,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,5.0
